dim_date_id,date_val,calendar_year,calendar_month,calendar_day,day_of_week,is_weekday,is_workday,is_holiday
40,2017-02-09,2017,2,9,5,1,1,0
41,2017-02-10,2017,2,10,6,1,1,0
42,2017-02-11,2017,2,11,7,0,0,0
43,2017-02-12,2017,2,12,1,0,0,0
44,2017-02-13,2017,2,13,2,1,1,0
45,2017-02-14,2017,2,14,3,1,1,0
46,2017-02-15,2017,2,15,4,1,1,0
47,2017-02-16,2017,2,16,5,1,1,0
48,2017-02-17,2017,2,17,6,1,1,0
49,2017-02-18,2017,2,18,7,0,0,0
50,2017-02-19,2017,2,19,1,0,0,0
51,2017-02-20,2017,2,20,2,1,1,0
52,2017-02-21,2017,2,21,3,1,1,0
53,2017-02-22,2017,2,22,4,1,1,0
54,2017-02-23,2017,2,23,5,1,1,0
55,2017-02-24,2017,2,24,6,1,1,0
56,2017-02-25,2017,2,25,7,0,0,0
57,2017-02-26,2017,2,26,1,0,0,0
58,2017-02-27,2017,2,27,2,1,1,0
59,2017-02-28,2017,2,28,3,1,1,0
60,2017-03-01,2017,3,1,4,1,1,0
61,2017-03-02,2017,3,2,5,1,1,0
62,2017-03-03,2017,3,3,6,1,1,0
63,2017-03-04,2017,3,4,7,0,0,0
64,2017-03-05,2017,3,5,1,0,0,0
65,2017-03-06,2017,3,6,2,1,1,0
66,2017-03-07,2017,3,7,3,1,1,0
67,2017-03-08,2017,3,8,4,1,1,0
68,2017-03-09,2017,3,9,5,1,1,0
69,2017-03-10,2017,3,10,6,1,1,0
70,2017-03-11,2017,3,11,7,0,0,0
71,2017-03-12,2017,3,12,1,0,0,0
72,2017-03-13,2017,3,13,2,1,1,0
73,2017-03-14,2017,3,14,3,1,1,0
74,2017-03-15,2017,3,15,4,1,1,0
75,2017-03-16,2017,3,16,5,1,1,0
76,2017-03-17,2017,3,17,6,1,1,0
77,2017-03-18,2017,3,18,7,0,0,0
78,2017-03-19,2017,3,19,1,0,0,0
79,2017-03-20,2017,3,20,2,1,1,0
80,2017-03-21,2017,3,21,3,1,1,0
81,2017-03-22,2017,3,22,4,1,1,0
82,2017-03-23,2017,3,23,5,1,1,0
83,2017-03-24,2017,3,24,6,1,1,0
84,2017-03-25,2017,3,25,7,0,0,0
85,2017-03-26,2017,3,26,1,0,0,0
86,2017-03-27,2017,3,27,2,1,1,0
87,2017-03-28,2017,3,28,3,1,1,0
88,2017-03-29,2017,3,29,4,1,1,0
89,2017-03-30,2017,3,30,5,1,1,0
90,2017-03-31,2017,3,31,6,1,1,0
91,2017-04-01,2017,4,1,7,0,0,0
92,2017-04-02,2017,4,2,1,0,0,0
93,2017-04-03,2017,4,3,2,1,1,0
94,2017-04-04,2017,4,4,3,1,1,0
95,2017-04-05,2017,4,5,4,1,1,0
96,2017-04-06,2017,4,6,5,1,1,0
97,2017-04-07,2017,4,7,6,1,1,0
98,2017-04-08,2017,4,8,7,0,0,0
99,2017-04-09,2017,4,9,1,0,0,0
100,2017-04-10,2017,4,10,2,1,1,0
101,2017-04-11,2017,4,11,3,1,1,0
102,2017-04-12,2017,4,12,4,1,1,0
103,2017-04-13,2017,4,13,5,1,1,0
104,2017-04-14,2017,4,14,6,1,1,0
105,2017-04-15,2017,4,15,7,0,0,0
106,2017-04-16,2017,4,16,1,0,0,0
107,2017-04-17,2017,4,17,2,1,1,0
108,2017-04-18,2017,4,18,3,1,1,0
109,2017-04-19,2017,4,19,4,1,1,0
110,2017-04-20,2017,4,20,5,1,1,0
111,2017-04-21,2017,4,21,6,1,1,0
112,2017-04-22,2017,4,22,7,0,0,0
113,2017-04-23,2017,4,23,1,0,0,0
114,2017-04-24,2017,4,24,2,1,1,0
115,2017-04-25,2017,4,25,3,1,1,0
116,2017-04-26,2017,4,26,4,1,1,0
117,2017-04-27,2017,4,27,5,1,1,0
118,2017-04-28,2017,4,28,6,1,1,0
119,2017-04-29,2017,4,29,7,0,0,0
120,2017-04-30,2017,4,30,1,0,0,0
121,2017-05-01,2017,5,1,2,1,1,0
122,2017-05-02,2017,5,2,3,1,1,0
123,2017-05-03,2017,5,3,4,1,1,0
124,2017-05-04,2017,5,4,5,1,1,0
125,2017-05-05,2017,5,5,6,1,1,0
126,2017-05-06,2017,5,6,7,0,0,0
127,2017-05-07,2017,5,7,1,0,0,0
128,2017-05-08,2017,5,8,2,1,1,0
129,2017-05-09,2017,5,9,3,1,1,0
130,2017-05-10,2017,5,10,4,1,1,0
131,2017-05-11,2017,5,11,5,1,1,0
132,2017-05-12,2017,5,12,6,1,1,0
133,2017-05-13,2017,5,13,7,0,0,0
134,2017-05-14,2017,5,14,1,0,0,0
135,2017-05-15,2017,5,15,2,1,1,0
136,2017-05-16,2017,5,16,3,1,1,0
137,2017-05-17,2017,5,17,4,1,1,0
138,2017-05-18,2017,5,18,5,1,1,0
139,2017-05-19,2017,5,19,6,1,1,0
140,2017-05-20,2017,5,20,7,0,0,0
141,2017-05-21,2017,5,21,1,0,0,0
142,2017-05-22,2017,5,22,2,1,1,0
143,2017-05-23,2017,5,23,3,1,1,0
144,2017-05-24,2017,5,24,4,1,1,0
145,2017-05-25,2017,5,25,5,1,1,0
146,2017-05-26,2017,5,26,6,1,1,0
147,2017-05-27,2017,5,27,7,0,0,0
148,2017-05-28,2017,5,28,1,0,0,0
149,2017-05-29,2017,5,29,2,1,0,1
150,2017-05-30,2017,5,30,3,1,1,0
151,2017-05-31,2017,5,31,4,1,1,0
152,2017-06-01,2017,6,1,5,1,1,0
153,2017-06-02,2017,6,2,6,1,1,0
154,2017-06-03,2017,6,3,7,0,0,0
155,2017-06-04,2017,6,4,1,0,0,0
156,2017-06-05,2017,6,5,2,1,1,0
157,2017-06-06,2017,6,6,3,1,1,0
158,2017-06-07,2017,6,7,4,1,1,0
159,2017-06-08,2017,6,8,5,1,1,0
160,2017-06-09,2017,6,9,6,1,1,0
161,2017-06-10,2017,6,10,7,0,0,0
162,2017-06-11,2017,6,11,1,0,0,0
163,2017-06-12,2017,6,12,2,1,1,0
164,2017-06-13,2017,6,13,3,1,1,0
165,2017-06-14,2017,6,14,4,1,1,0
166,2017-06-15,2017,6,15,5,1,1,0
167,2017-06-16,2017,6,16,6,1,1,0
168,2017-06-17,2017,6,17,7,0,0,0
169,2017-06-18,2017,6,18,1,0,0,0
170,2017-06-19,2017,6,19,2,1,1,0
171,2017-06-20,2017,6,20,3,1,1,0
172,2017-06-21,2017,6,21,4,1,1,0
173,2017-06-22,2017,6,22,5,1,1,0
174,2017-06-23,2017,6,23,6,1,1,0
175,2017-06-24,2017,6,24,7,0,0,0
176,2017-06-25,2017,6,25,1,0,0,0
177,2017-06-26,2017,6,26,2,1,1,0
178,2017-06-27,2017,6,27,3,1,1,0
179,2017-06-28,2017,6,28,4,1,1,0
180,2017-06-29,2017,6,29,5,1,1,0
181,2017-06-30,2017,6,30,6,1,1,0
182,2017-07-01,2017,7,1,7,0,0,0
183,2017-07-02,2017,7,2,1,0,0,0
184,2017-07-03,2017,7,3,2,1,1,0
185,2017-07-04,2017,7,4,3,1,0,1
186,2017-07-05,2017,7,5,4,1,1,0
187,2017-07-06,2017,7,6,5,1,1,0
188,2017-07-07,2017,7,7,6,1,1,0
189,2017-07-08,2017,7,8,7,0,0,0
190,2017-07-09,2017,7,9,1,0,0,0
191,2017-07-10,2017,7,10,2,1,1,0
192,2017-07-11,2017,7,11,3,1,1,0
193,2017-07-12,2017,7,12,4,1,1,0
194,2017-07-13,2017,7,13,5,1,1,0
195,2017-07-14,2017,7,14,6,1,1,0
196,2017-07-15,2017,7,15,7,0,0,0
197,2017-07-16,2017,7,16,1,0,0,0
198,2017-07-17,2017,7,17,2,1,1,0
199,2017-07-18,2017,7,18,3,1,1,0
200,2017-07-19,2017,7,19,4,1,1,0
201,2017-07-20,2017,7,20,5,1,1,0
202,2017-07-21,2017,7,21,6,1,1,0
203,2017-07-22,2017,7,22,7,0,0,0
204,2017-07-23,2017,7,23,1,0,0,0
205,2017-07-24,2017,7,24,2,1,1,0
206,2017-07-25,2017,7,25,3,1,1,0
207,2017-07-26,2017,7,26,4,1,1,0
208,2017-07-27,2017,7,27,5,1,1,0
209,2017-07-28,2017,7,28,6,1,1,0
210,2017-07-29,2017,7,29,7,0,0,0
211,2017-07-30,2017,7,30,1,0,0,0
212,2017-07-31,2017,7,31,2,1,1,0
213,2017-08-01,2017,8,1,3,1,1,0
214,2017-08-02,2017,8,2,4,1,1,0
215,2017-08-03,2017,8,3,5,1,1,0
216,2017-08-04,2017,8,4,6,1,1,0
217,2017-08-05,2017,8,5,7,0,0,0
218,2017-08-06,2017,8,6,1,0,0,0
219,2017-08-07,2017,8,7,2,1,1,0
220,2017-08-08,2017,8,8,3,1,1,0
221,2017-08-09,2017,8,9,4,1,1,0
222,2017-08-10,2017,8,10,5,1,1,0
223,2017-08-11,2017,8,11,6,1,1,0
224,2017-08-12,2017,8,12,7,0,0,0
225,2017-08-13,2017,8,13,1,0,0,0
226,2017-08-14,2017,8,14,2,1,1,0
227,2017-08-15,2017,8,15,3,1,1,0
228,2017-08-16,2017,8,16,4,1,1,0
229,2017-08-17,2017,8,17,5,1,1,0
230,2017-08-18,2017,8,18,6,1,1,0
231,2017-08-19,2017,8,19,7,0,0,0
232,2017-08-20,2017,8,20,1,0,0,0
233,2017-08-21,2017,8,21,2,1,1,0
234,2017-08-22,2017,8,22,3,1,1,0
235,2017-08-23,2017,8,23,4,1,1,0
236,2017-08-24,2017,8,24,5,1,1,0
237,2017-08-25,2017,8,25,6,1,1,0
238,2017-08-26,2017,8,26,7,0,0,0
239,2017-08-27,2017,8,27,1,0,0,0
240,2017-08-28,2017,8,28,2,1,1,0
241,2017-08-29,2017,8,29,3,1,1,0
242,2017-08-30,2017,8,30,4,1,1,0
243,2017-08-31,2017,8,31,5,1,1,0
244,2017-09-01,2017,9,1,6,1,1,0
245,2017-09-02,2017,9,2,7,0,0,0
246,2017-09-03,2017,9,3,1,0,0,0
247,2017-09-04,2017,9,4,2,1,0,1
248,2017-09-05,2017,9,5,3,1,1,0
249,2017-09-06,2017,9,6,4,1,1,0
250,2017-09-07,2017,9,7,5,1,1,0
251,2017-09-08,2017,9,8,6,1,1,0
252,2017-09-09,2017,9,9,7,0,0,0
253,2017-09-10,2017,9,10,1,0,0,0
254,2017-09-11,2017,9,11,2,1,1,0
255,2017-09-12,2017,9,12,3,1,1,0
256,2017-09-13,2017,9,13,4,1,1,0
257,2017-09-14,2017,9,14,5,1,1,0
258,2017-09-15,2017,9,15,6,1,1,0
259,2017-09-16,2017,9,16,7,0,0,0
260,2017-09-17,2017,9,17,1,0,0,0
261,2017-09-18,2017,9,18,2,1,1,0
262,2017-09-19,2017,9,19,3,1,1,0
263,2017-09-20,2017,9,20,4,1,1,0
264,2017-09-21,2017,9,21,5,1,1,0
265,2017-09-22,2017,9,22,6,1,1,0
266,2017-09-23,2017,9,23,7,0,0,0
267,2017-09-24,2017,9,24,1,0,0,0
268,2017-09-25,2017,9,25,2,1,1,0
269,2017-09-26,2017,9,26,3,1,1,0
270,2017-09-27,2017,9,27,4,1,1,0
271,2017-09-28,2017,9,28,5,1,1,0
272,2017-09-29,2017,9,29,6,1,1,0
273,2017-09-30,2017,9,30,7,0,0,0
274,2017-10-01,2017,10,1,1,0,0,0
275,2017-10-02,2017,10,2,2,1,1,0
276,2017-10-03,2017,10,3,3,1,1,0
277,2017-10-04,2017,10,4,4,1,1,0
278,2017-10-05,2017,10,5,5,1,1,0
279,2017-10-06,2017,10,6,6,1,1,0
280,2017-10-07,2017,10,7,7,0,0,0
281,2017-10-08,2017,10,8,1,0,0,0
282,2017-10-09,2017,10,9,2,1,1,0
283,2017-10-10,2017,10,10,3,1,1,0
284,2017-10-11,2017,10,11,4,1,1,0
285,2017-10-12,2017,10,12,5,1,1,0
286,2017-10-13,2017,10,13,6,1,1,0
287,2017-10-14,2017,10,14,7,0,0,0
288,2017-10-15,2017,10,15,1,0,0,0
289,2017-10-16,2017,10,16,2,1,1,0
290,2017-10-17,2017,10,17,3,1,1,0
291,2017-10-18,2017,10,18,4,1,1,0
292,2017-10-19,2017,10,19,5,1,1,0
293,2017-10-20,2017,10,20,6,1,1,0
294,2017-10-21,2017,10,21,7,0,0,0
295,2017-10-22,2017,10,22,1,0,0,0
296,2017-10-23,2017,10,23,2,1,1,0
297,2017-10-24,2017,10,24,3,1,1,0
298,2017-10-25,2017,10,25,4,1,1,0
299,2017-10-26,2017,10,26,5,1,1,0
300,2017-10-27,2017,10,27,6,1,1,0
301,2017-10-28,2017,10,28,7,0,0,0
302,2017-10-29,2017,10,29,1,0,0,0
303,2017-10-30,2017,10,30,2,1,1,0
304,2017-10-31,2017,10,31,3,1,1,0
305,2017-11-01,2017,11,1,4,1,1,0
306,2017-11-02,2017,11,2,5,1,1,0
307,2017-11-03,2017,11,3,6,1,1,0
308,2017-11-04,2017,11,4,7,0,0,0
309,2017-11-05,2017,11,5,1,0,0,0
310,2017-11-06,2017,11,6,2,1,1,0
311,2017-11-07,2017,11,7,3,1,1,0
312,2017-11-08,2017,11,8,4,1,1,0
313,2017-11-09,2017,11,9,5,1,1,0
314,2017-11-10,2017,11,10,6,1,1,0
315,2017-11-11,2017,11,11,7,0,0,0
316,2017-11-12,2017,11,12,1,0,0,0
317,2017-11-13,2017,11,13,2,1,1,0
318,2017-11-14,2017,11,14,3,1,1,0
319,2017-11-15,2017,11,15,4,1,1,0
320,2017-11-16,2017,11,16,5,1,1,0
321,2017-11-17,2017,11,17,6,1,1,0
322,2017-11-18,2017,11,18,7,0,0,0
323,2017-11-19,2017,11,19,1,0,0,0
324,2017-11-20,2017,11,20,2,1,1,0
325,2017-11-21,2017,11,21,3,1,1,0
326,2017-11-22,2017,11,22,4,1,1,0
327,2017-11-23,2017,11,23,5,1,0,1
328,2017-11-24,2017,11,24,6,1,0,0
329,2017-11-25,2017,11,25,7,0,0,0
330,2017-11-26,2017,11,26,1,0,0,0
331,2017-11-27,2017,11,27,2,1,1,0
332,2017-11-28,2017,11,28,3,1,1,0
333,2017-11-29,2017,11,29,4,1,1,0
334,2017-11-30,2017,11,30,5,1,1,0
335,2017-12-01,2017,12,1,6,1,1,0
336,2017-12-02,2017,12,2,7,0,0,0
337,2017-12-03,2017,12,3,1,0,0,0
338,2017-12-04,2017,12,4,2,1,1,0
339,2017-12-05,2017,12,5,3,1,1,0
340,2017-12-06,2017,12,6,4,1,1,0
341,2017-12-07,2017,12,7,5,1,1,0
342,2017-12-08,2017,12,8,6,1,1,0
343,2017-12-09,2017,12,9,7,0,0,0
344,2017-12-10,2017,12,10,1,0,0,0
345,2017-12-11,2017,12,11,2,1,1,0
346,2017-12-12,2017,12,12,3,1,1,0
347,2017-12-13,2017,12,13,4,1,1,0
348,2017-12-14,2017,12,14,5,1,1,0
349,2017-12-15,2017,12,15,6,1,1,0
350,2017-12-16,2017,12,16,7,0,0,0
351,2017-12-17,2017,12,17,1,0,0,0
352,2017-12-18,2017,12,18,2,1,1,0
353,2017-12-19,2017,12,19,3,1,1,0
354,2017-12-20,2017,12,20,4,1,1,0
355,2017-12-21,2017,12,21,5,1,1,0
356,2017-12-22,2017,12,22,6,1,1,0
357,2017-12-23,2017,12,23,7,0,0,0
358,2017-12-24,2017,12,24,1,0,0,0
359,2017-12-25,2017,12,25,2,1,0,1
360,2017-12-26,2017,12,26,3,1,1,0
361,2017-12-27,2017,12,27,4,1,1,0
362,2017-12-28,2017,12,28,5,1,1,0
363,2017-12-29,2017,12,29,6,1,1,0
364,2017-12-30,2017,12,30,7,0,0,0
365,2017-12-31,2017,12,31,1,0,0,0
366,2018-01-01,2018,1,1,2,1,0,1
367,2018-01-02,2018,1,2,3,1,1,0
368,2018-01-03,2018,1,3,4,1,1,0
369,2018-01-04,2018,1,4,5,1,1,0
370,2018-01-05,2018,1,5,6,1,1,0
371,2018-01-06,2018,1,6,7,0,0,0
372,2018-01-07,2018,1,7,1,0,0,0
373,2018-01-08,2018,1,8,2,1,1,0
374,2018-01-09,2018,1,9,3,1,1,0
375,2018-01-10,2018,1,10,4,1,1,0
376,2018-01-11,2018,1,11,5,1,1,0
377,2018-01-12,2018,1,12,6,1,1,0
378,2018-01-13,2018,1,13,7,0,0,0
379,2018-01-14,2018,1,14,1,0,0,0
380,2018-01-15,2018,1,15,2,1,1,0
381,2018-01-16,2018,1,16,3,1,1,0
382,2018-01-17,2018,1,17,4,1,1,0
383,2018-01-18,2018,1,18,5,1,1,0
384,2018-01-19,2018,1,19,6,1,1,0
385,2018-01-20,2018,1,20,7,0,0,0
386,2018-01-21,2018,1,21,1,0,0,0
387,2018-01-22,2018,1,22,2,1,1,0
388,2018-01-23,2018,1,23,3,1,1,0
389,2018-01-24,2018,1,24,4,1,1,0
390,2018-01-25,2018,1,25,5,1,1,0
391,2018-01-26,2018,1,26,6,1,1,0
392,2018-01-27,2018,1,27,7,0,0,0
393,2018-01-28,2018,1,28,1,0,0,0
394,2018-01-29,2018,1,29,2,1,1,0
395,2018-01-30,2018,1,30,3,1,1,0
396,2018-01-31,2018,1,31,4,1,1,0
397,2018-02-01,2018,2,1,5,1,1,0
398,2018-02-02,2018,2,2,6,1,1,0
399,2018-02-03,2018,2,3,7,0,0,0
400,2018-02-04,2018,2,4,1,0,0,0
401,2018-02-05,2018,2,5,2,1,1,0
402,2018-02-06,2018,2,6,3,1,1,0
403,2018-02-07,2018,2,7,4,1,1,0
404,2018-02-08,2018,2,8,5,1,1,0
405,2018-02-09,2018,2,9,6,1,1,0
406,2018-02-10,2018,2,10,7,0,0,0
407,2018-02-11,2018,2,11,1,0,0,0
408,2018-02-12,2018,2,12,2,1,1,0
409,2018-02-13,2018,2,13,3,1,1,0
410,2018-02-14,2018,2,14,4,1,1,0
411,2018-02-15,2018,2,15,5,1,1,0
412,2018-02-16,2018,2,16,6,1,1,0
413,2018-02-17,2018,2,17,7,0,0,0
414,2018-02-18,2018,2,18,1,0,0,0
415,2018-02-19,2018,2,19,2,1,1,0
416,2018-02-20,2018,2,20,3,1,1,0
417,2018-02-21,2018,2,21,4,1,1,0
418,2018-02-22,2018,2,22,5,1,1,0
419,2018-02-23,2018,2,23,6,1,1,0
420,2018-02-24,2018,2,24,7,0,0,0
421,2018-02-25,2018,2,25,1,0,0,0
422,2018-02-26,2018,2,26,2,1,1,0
423,2018-02-27,2018,2,27,3,1,1,0
424,2018-02-28,2018,2,28,4,1,1,0
425,2018-03-01,2018,3,1,5,1,1,0
426,2018-03-02,2018,3,2,6,1,1,0
427,2018-03-03,2018,3,3,7,0,0,0
428,2018-03-04,2018,3,4,1,0,0,0
429,2018-03-05,2018,3,5,2,1,1,0
430,2018-03-06,2018,3,6,3,1,1,0
431,2018-03-07,2018,3,7,4,1,1,0
432,2018-03-08,2018,3,8,5,1,1,0
433,2018-03-09,2018,3,9,6,1,1,0
434,2018-03-10,2018,3,10,7,0,0,0
435,2018-03-11,2018,3,11,1,0,0,0
436,2018-03-12,2018,3,12,2,1,1,0
437,2018-03-13,2018,3,13,3,1,1,0
438,2018-03-14,2018,3,14,4,1,1,0
439,2018-03-15,2018,3,15,5,1,1,0
440,2018-03-16,2018,3,16,6,1,1,0
441,2018-03-17,2018,3,17,7,0,0,0
442,2018-03-18,2018,3,18,1,0,0,0
443,2018-03-19,2018,3,19,2,1,1,0
444,2018-03-20,2018,3,20,3,1,1,0
445,2018-03-21,2018,3,21,4,1,1,0
446,2018-03-22,2018,3,22,5,1,1,0
447,2018-03-23,2018,3,23,6,1,1,0
448,2018-03-24,2018,3,24,7,0,0,0
449,2018-03-25,2018,3,25,1,0,0,0
450,2018-03-26,2018,3,26,2,1,1,0
451,2018-03-27,2018,3,27,3,1,1,0
452,2018-03-28,2018,3,28,4,1,1,0
453,2018-03-29,2018,3,29,5,1,1,0
454,2018-03-30,2018,3,30,6,1,1,0
455,2018-03-31,2018,3,31,7,0,0,0
456,2018-04-01,2018,4,1,1,0,0,0
457,2018-04-02,2018,4,2,2,1,1,0
458,2018-04-03,2018,4,3,3,1,1,0
459,2018-04-04,2018,4,4,4,1,1,0
460,2018-04-05,2018,4,5,5,1,1,0
461,2018-04-06,2018,4,6,6,1,1,0
462,2018-04-07,2018,4,7,7,0,0,0
463,2018-04-08,2018,4,8,1,0,0,0
464,2018-04-09,2018,4,9,2,1,1,0
465,2018-04-10,2018,4,10,3,1,1,0
466,2018-04-11,2018,4,11,4,1,1,0
467,2018-04-12,2018,4,12,5,1,1,0
468,2018-04-13,2018,4,13,6,1,1,0
469,2018-04-14,2018,4,14,7,0,0,0
470,2018-04-15,2018,4,15,1,0,0,0
471,2018-04-16,2018,4,16,2,1,1,0
472,2018-04-17,2018,4,17,3,1,1,0
473,2018-04-18,2018,4,18,4,1,1,0
474,2018-04-19,2018,4,19,5,1,1,0
475,2018-04-20,2018,4,20,6,1,1,0
476,2018-04-21,2018,4,21,7,0,0,0
477,2018-04-22,2018,4,22,1,0,0,0
478,2018-04-23,2018,4,23,2,1,1,0
479,2018-04-24,2018,4,24,3,1,1,0
480,2018-04-25,2018,4,25,4,1,1,0
481,2018-04-26,2018,4,26,5,1,1,0
482,2018-04-27,2018,4,27,6,1,1,0
483,2018-04-28,2018,4,28,7,0,0,0
484,2018-04-29,2018,4,29,1,0,0,0
485,2018-04-30,2018,4,30,2,1,1,0
486,2018-05-01,2018,5,1,3,1,1,0
487,2018-05-02,2018,5,2,4,1,1,0
488,2018-05-03,2018,5,3,5,1,1,0
489,2018-05-04,2018,5,4,6,1,1,0
490,2018-05-05,2018,5,5,7,0,0,0
491,2018-05-06,2018,5,6,1,0,0,0
492,2018-05-07,2018,5,7,2,1,1,0
493,2018-05-08,2018,5,8,3,1,1,0
494,2018-05-09,2018,5,9,4,1,1,0
495,2018-05-10,2018,5,10,5,1,1,0
496,2018-05-11,2018,5,11,6,1,1,0
497,2018-05-12,2018,5,12,7,0,0,0
498,2018-05-13,2018,5,13,1,0,0,0
499,2018-05-14,2018,5,14,2,1,1,0
500,2018-05-15,2018,5,15,3,1,1,0
501,2018-05-16,2018,5,16,4,1,1,0
502,2018-05-17,2018,5,17,5,1,1,0
503,2018-05-18,2018,5,18,6,1,1,0
504,2018-05-19,2018,5,19,7,0,0,0
505,2018-05-20,2018,5,20,1,0,0,0
506,2018-05-21,2018,5,21,2,1,1,0
507,2018-05-22,2018,5,22,3,1,1,0
508,2018-05-23,2018,5,23,4,1,1,0
509,2018-05-24,2018,5,24,5,1,1,0
510,2018-05-25,2018,5,25,6,1,1,0
511,2018-05-26,2018,5,26,7,0,0,0
512,2018-05-27,2018,5,27,1,0,0,0
513,2018-05-28,2018,5,28,2,1,0,1
514,2018-05-29,2018,5,29,3,1,1,0
515,2018-05-30,2018,5,30,4,1,1,0
516,2018-05-31,2018,5,31,5,1,1,0
517,2018-06-01,2018,6,1,6,1,1,0
518,2018-06-02,2018,6,2,7,0,0,0
519,2018-06-03,2018,6,3,1,0,0,0
520,2018-06-04,2018,6,4,2,1,1,0
521,2018-06-05,2018,6,5,3,1,1,0
522,2018-06-06,2018,6,6,4,1,1,0
523,2018-06-07,2018,6,7,5,1,1,0
524,2018-06-08,2018,6,8,6,1,1,0
525,2018-06-09,2018,6,9,7,0,0,0
526,2018-06-10,2018,6,10,1,0,0,0
527,2018-06-11,2018,6,11,2,1,1,0
528,2018-06-12,2018,6,12,3,1,1,0
529,2018-06-13,2018,6,13,4,1,1,0
530,2018-06-14,2018,6,14,5,1,1,0
531,2018-06-15,2018,6,15,6,1,1,0
532,2018-06-16,2018,6,16,7,0,0,0
533,2018-06-17,2018,6,17,1,0,0,0
534,2018-06-18,2018,6,18,2,1,1,0
535,2018-06-19,2018,6,19,3,1,1,0
536,2018-06-20,2018,6,20,4,1,1,0
537,2018-06-21,2018,6,21,5,1,1,0
538,2018-06-22,2018,6,22,6,1,1,0
539,2018-06-23,2018,6,23,7,0,0,0
540,2018-06-24,2018,6,24,1,0,0,0
541,2018-06-25,2018,6,25,2,1,1,0
542,2018-06-26,2018,6,26,3,1,1,0
543,2018-06-27,2018,6,27,4,1,1,0
544,2018-06-28,2018,6,28,5,1,1,0
545,2018-06-29,2018,6,29,6,1,1,0
546,2018-06-30,2018,6,30,7,0,0,0
547,2018-07-01,2018,7,1,1,0,0,0
548,2018-07-02,2018,7,2,2,1,1,0
549,2018-07-03,2018,7,3,3,1,1,0
550,2018-07-04,2018,7,4,4,1,0,1
551,2018-07-05,2018,7,5,5,1,1,0
552,2018-07-06,2018,7,6,6,1,1,0
553,2018-07-07,2018,7,7,7,0,0,0
554,2018-07-08,2018,7,8,1,0,0,0
555,2018-07-09,2018,7,9,2,1,1,0
556,2018-07-10,2018,7,10,3,1,1,0
557,2018-07-11,2018,7,11,4,1,1,0
558,2018-07-12,2018,7,12,5,1,1,0
559,2018-07-13,2018,7,13,6,1,1,0
560,2018-07-14,2018,7,14,7,0,0,0
561,2018-07-15,2018,7,15,1,0,0,0
562,2018-07-16,2018,7,16,2,1,1,0
563,2018-07-17,2018,7,17,3,1,1,0
564,2018-07-18,2018,7,18,4,1,1,0
565,2018-07-19,2018,7,19,5,1,1,0
566,2018-07-20,2018,7,20,6,1,1,0
567,2018-07-21,2018,7,21,7,0,0,0
568,2018-07-22,2018,7,22,1,0,0,0
569,2018-07-23,2018,7,23,2,1,1,0
570,2018-07-24,2018,7,24,3,1,1,0
571,2018-07-25,2018,7,25,4,1,1,0
572,2018-07-26,2018,7,26,5,1,1,0
573,2018-07-27,2018,7,27,6,1,1,0
574,2018-07-28,2018,7,28,7,0,0,0
575,2018-07-29,2018,7,29,1,0,0,0
576,2018-07-30,2018,7,30,2,1,1,0
577,2018-07-31,2018,7,31,3,1,1,0
578,2018-08-01,2018,8,1,4,1,1,0
579,2018-08-02,2018,8,2,5,1,1,0
